id,first_name,last_name,gender,date_of_birthday,deceased_indicator,owns_car,address,property_valuation,job_title,job_industry_category,wealth_segment,postcode,state
1,Laraine,Medendorp,F,1953-10-12,N,Yes,060 Morning Avenue,10,Executive Secretary,Health,Mass Customer,2016,New South Wales
2,Eli,Bockman,Male,1980-12-16,N,Yes,6 Meadow Vale Court,10,Administrative Officer,Financial Services,Mass Customer,2153,New South Wales
3,Arlin,Dearle,Male,1954-01-20,N,Yes,0 Holy Cross Court,9,Recruiting Manager,Property,Mass Customer,4211,QLD
4,Talbot,,Male,1961-10-03,N,No,17979 Del Mar Point,4,,IT,Mass Customer,2448,New South Wales
5,Sheila-kathryn,Calton,Female,1977-05-13,N,Yes,9 Oakridge Court,9,Senior Editor,n/a,Affluent Customer,3216,VIC
6,Curr,Duckhouse,Male,1966-09-16,N,Yes,4 Delaware Trail,9,,Retail,High Net Worth,2210,New South Wales
7,Fina,Merali,Female,1976-02-23,N,Yes,49 Londonderry Lane,4,,Financial Services,Affluent Customer,2650,New South Wales
8,Rod,Inder,Male,1962-03-30,N,No,97736 7th Trail,12,Media Manager I,n/a,Mass Customer,2023,New South Wales
9,Mala,Lind,Female,1973-03-10,N,Yes,93405 Ludington Park,8,Business Systems Development Analyst,Argiculture,Affluent Customer,3044,VIC
10,Fiorenze,Birdall,Female,1988-10-11,N,Yes,44339 Golden Leaf Alley,4,Senior Quality Engineer,Financial Services,Mass Customer,4557,QLD
11,Uriah,Bisatt,Male,1954-04-30,N,No,2 Sutherland Street,6,,Property,Mass Customer,3799,VIC
12,Sawyere,Flattman,Male,1994-07-21,N,No,9 Mcbride Trail,8,Nuclear Power Engineer,Manufacturing,Mass Customer,2760,New South Wales
13,Gabriele,Norcross,Male,1955-02-15,N,Yes,9861 New Castle Avenue,9,Developer I,Financial Services,High Net Worth,2428,New South Wales
14,Rayshell,Kitteman,Female,1983-03-25,N,No,52 Moland Street,4,Account Executive,Financial Services,Affluent Customer,3331,VIC
15,Erroll,Radage,Male,2000-07-13,N,No,82391 Kensington Lane,9,Junior Executive,Manufacturing,Mass Customer,3058,VIC
16,Harlin,Parr,Male,1977-02-27,N,Yes,092 2nd Alley,12,Media Manager IV,n/a,Mass Customer,2135,New South Wales
17,Heath,Faraday,Male,1962-03-19,N,Yes,59 Spaight Circle,9,Sales Associate,n/a,Affluent Customer,2233,New South Wales
18,Marjie,Neasham,Female,1967-07-06,N,No,032 Bartelt Crossing,8,Professor,n/a,Affluent Customer,2444,New South Wales
19,Sorcha,Keyson,Female,2001-04-15,N,No,18 Jenna Center,7,Geological Engineer,Manufacturing,High Net Worth,2650,New South Wales
20,Basile,Firth,Male,1980-08-13,N,No,3 Cordelia Plaza,10,Project Manager,Manufacturing,Mass Customer,2153,New South Wales
21,Mile,Cammocke,Male,1980-09-20,N,Yes,28 5th Center,3,Safety Technician I,Manufacturing,Affluent Customer,4413,QLD
22,Deeanne,Durtnell,Female,1962-12-10,N,No,52 Carey Alley,5,,IT,Mass Customer,4740,QLD
23,Olav,Polak,Male,1995-02-10,N,Yes,96 Texas Plaza,7,,n/a,High Net Worth,3218,VIC
24,Kim,Skpsey,Female,1977-12-03,N,Yes,48 Eagan Avenue,4,Research Assistant I,Argiculture,Mass Customer,4868,QLD
